,Variable,Year,Region,Subregion,Value
9805,Beef cattle purchased (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,37.0
9806,Beef cattle receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,212680.0
9807,Beef cattle sold (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,268.0
9808,Beef cattle transferred off farm (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,23.0
9809,Beef cattle transferred onto farm (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,32.0
9810,Beef cows at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,307.0
9811,Beef heifers at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,117.0
9812,Beef herd at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,880.0
9813,Branding rate (%),1992,QL,QLD Northern Coastal - Mackay to Cairns,63.7
9814,Buildup in trading stocks ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,-36580.0
9815,Canola area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9816,Canola produced (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9817,Canola receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9818,Capital appreciation ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,-42160.0
9819,Capital at 1 July ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,2830730.0
9820,Change in farm debt ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,12970.0
9821,Contracts - cropping ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,9870.0
9822,Contracts - livestock ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,2030.0
9823,Cotton receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9824,Crop and pasture chemicals ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,4100.0
9825,Dairy cattle at June 30 (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9826,Depreciation ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,30930.0
9827,Electricity ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,7740.0
9828,Equity ratio at 30 June (%),1992,QL,QLD Northern Coastal - Mackay to Cairns,92.0
9829,Ewes at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,5.0
9830,Family share of farm income ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,-6290.0
9831,Farm business debt at 30 June ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,220490.0
9832,Farm business equity June 30 ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,2495700.0
9833,Farm business profit ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,-94700.0
9834,Farm cash income ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,40700.0
9835,Farm liquid assets at 30 June ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,69670.0
9836,Fertiliser ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,10100.0
9837,Field peas area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9838,Field peas produced (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9839,Field peas receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9840,Fodder ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,25450.0
9841,Fuel oil and grease ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,14710.0
9842,Grain legumes area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,2.0
9843,Grain legumes produced (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,2.0
9844,Grain legumes receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,150.0
9845,Handling and marketing ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,6170.0
9846,Hours worked on farm - total (hrsperwk),1992,QL,QLD Northern Coastal - Mackay to Cairns,
9847,Hours worked on farm by owner manager (hrsperwk),1992,QL,QLD Northern Coastal - Mackay to Cairns,
9848,Hours worked on farm by spouse (hrsperwk),1992,QL,QLD Northern Coastal - Mackay to Cairns,
9849,Imputed labor cost ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,67890.0
9850,Insurance ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,2940.0
9851,Interest paid ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,23580.0
9852,Lambs at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9853,Land rent ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,5540.0
9854,Leasing charges ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,5360.0
9855,Livestock materials ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,6170.0
9856,Livestock transfers - inwards ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,22010.0
9857,Livestock transfers - outward ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,16170.0
9858,Lupins area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,2.0
9859,Lupins produced (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,2.0
9860,Lupins receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,150.0
9861,Net capital additions ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,178650.0
9862,Oats area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9863,Oats produced (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9864,Oats receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9865,Off farm contracts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,1350.0
9866,Off farm sharefarming ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9867,Off-farm work for owner manager (hrsperwk),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9868,Off-farm work for spouse (hrsperwk),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9869,Oilseeds area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9870,Oilseeds produced (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9871,Oilseeds receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9872,Other administration expenses ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,5030.0
9873,Other farm income ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,13030.0
9874,Other livestock purchased ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,1590.0
9875,Other livestock receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,2030.0
9876,Other materials ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,9580.0
9877,Other services ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,8960.0
9878,Payments to sharefarmers ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9879,Population,1992,QL,QLD Northern Coastal - Mackay to Cairns,601.0
9880,Produce purchased for resale ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9881,Profit at full equity ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,-62950.0
9882,Profit at full equity including capital appreciation ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,-105110.0
9883,Rams at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9884,Rate of return ex. capital appreciation (%),1992,QL,QLD Northern Coastal - Mackay to Cairns,-2.2
9885,Rate of return inc. capital appreciation (%),1992,QL,QLD Northern Coastal - Mackay to Cairns,-3.6
9886,Repairs and maintenance ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,26960.0
9887,Rice area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,5.0
9888,Sample Contributing,1992,QL,QLD Northern Coastal - Mackay to Cairns,22.0
9889,Seed ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,1000.0
9890,Shearing crutching ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,90.0
9891,Sheep and lambs shorn (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,14.0
9892,Sheep flock at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,9.0
9893,Sheep purchased ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9894,Sheep purchased (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9895,Sheep receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9896,Sheep sold (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9897,Shire and PPB rates ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,11570.0
9898,Sorghum area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9899,Sorghum produced (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9900,Sorghum receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9901,Steers and other beef cattle at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,285.0
9902,Stores and rations ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,850.0
9903,Telephone ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,3320.0
9904,Total area cropped (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,31.0
9905,Total area irrigated (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,9.0
9906,Total cash costs ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,268850.0
9907,Total cash receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,309550.0
9908,Total closing capital ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,2892980.0
9909,Total crop gross receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,64090.0
9910,Total family income ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,51240.0
9911,Total freight ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,7770.0
9912,Total labor used (weeks),1992,QL,QLD Northern Coastal - Mackay to Cairns,106.0
9913,Total non farm income ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,57810.0
9914,Total off farm wages ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9915,Total wool sold (kg),1992,QL,QLD Northern Coastal - Mackay to Cairns,31.0
9916,Value of land and fixed improvements ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,2178880.0
9917,Vet fees ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,440.0
9918,Wages for hired labor ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,20600.0
9919,Water charges ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,510.0
9920,Wethers at 30 June (no.),1992,QL,QLD Northern Coastal - Mackay to Cairns,5.0
9921,Wheat area sown (ha),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9922,Wheat produced (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9923,Wheat receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9924,Wheat sold (t),1992,QL,QLD Northern Coastal - Mackay to Cairns,0.0
9925,Wool cut per head (kg),1992,QL,QLD Northern Coastal - Mackay to Cairns,2.2
9926,Wool produced (kg),1992,QL,QLD Northern Coastal - Mackay to Cairns,31.0
9927,Wool receipts ($),1992,QL,QLD Northern Coastal - Mackay to Cairns,200.0
9928,AI stud fees and herd testing ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,100.0
9929,Accounting services ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3380.0
9930,Advisory services ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,20.0
9931,Age of owner manager (yrs),1992,QL,QLD Southern Coastal - Curtis to Moreton,53.0
9932,Age of spouse (yrs),1992,QL,QLD Southern Coastal - Curtis to Moreton,49.0
9933,Agistment ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,550.0
9934,Area operated at 30 June (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,3193.0
9935,Barley area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,2.0
9936,Barley produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,1.0
9937,Barley receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,170.0
9938,Beef bulls at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,10.0
9939,Beef calves at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,98.0
9940,Beef cattle purchased ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,8730.0
9941,Beef cattle purchased (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,15.0
9942,Beef cattle receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,164160.0
9943,Beef cattle sold (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,174.0
9944,Beef cattle transferred off farm (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,3.0
9945,Beef cattle transferred onto farm (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,3.0
9946,Beef cows at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,207.0
9947,Beef heifers at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,71.0
9948,Beef herd at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,569.0
9949,Branding rate (%),1992,QL,QLD Southern Coastal - Curtis to Moreton,69.1
9950,Buildup in trading stocks ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,-29770.0
9951,Canola area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9952,Canola produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9953,Canola receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9954,Capital appreciation ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,-83110.0
9955,Capital at 1 July ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3189910.0
9956,Change in farm debt ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,14980.0
9957,Contracts - cropping ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,2810.0
9958,Contracts - livestock ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,640.0
9959,Cotton receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9960,Crop and pasture chemicals ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,4720.0
9961,Dairy cattle at June 30 (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9962,Depreciation ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,26020.0
9963,Electricity ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,2830.0
9964,Equity ratio at 30 June (%),1992,QL,QLD Southern Coastal - Curtis to Moreton,93.0
9965,Ewes at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9966,Family share of farm income ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,-6860.0
9967,Farm business debt at 30 June ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,188890.0
9968,Farm business equity June 30 ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,2475200.0
9969,Farm business profit ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,-72870.0
9970,Farm cash income ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,46140.0
9971,Farm liquid assets at 30 June ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,138750.0
9972,Fertiliser ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3810.0
9973,Field peas area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9974,Field peas produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9975,Field peas receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9976,Fodder ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,15740.0
9977,Fuel oil and grease ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,15250.0
9978,Grain legumes area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9979,Grain legumes produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9980,Grain legumes receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,140.0
9981,Handling and marketing ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,4850.0
9982,Hours worked on farm - total (hrsperwk),1992,QL,QLD Southern Coastal - Curtis to Moreton,
9983,Hours worked on farm by owner manager (hrsperwk),1992,QL,QLD Southern Coastal - Curtis to Moreton,
9984,Hours worked on farm by spouse (hrsperwk),1992,QL,QLD Southern Coastal - Curtis to Moreton,
9985,Imputed labor cost ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,63220.0
9986,Insurance ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3130.0
9987,Interest paid ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,23050.0
9988,Lambs at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9989,Land rent ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,1170.0
9990,Leasing charges ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,5340.0
9991,Livestock materials ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3930.0
9992,Livestock transfers - inwards ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,1790.0
9993,Livestock transfers - outward ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,1910.0
9994,Lupins area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9995,Lupins produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9996,Lupins receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
9997,Net capital additions ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,18080.0
9998,Oats area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,1.0
9999,Oats produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10000,Oats receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10001,Off farm contracts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,5870.0
10002,Off farm sharefarming ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,1070.0
10003,Off-farm work for owner manager (hrsperwk),1992,QL,QLD Southern Coastal - Curtis to Moreton,1.0
10004,Off-farm work for spouse (hrsperwk),1992,QL,QLD Southern Coastal - Curtis to Moreton,2.0
10005,Oilseeds area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,8.0
10006,Oilseeds produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,17.0
10007,Oilseeds receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,10140.0
10008,Other administration expenses ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3840.0
10009,Other farm income ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,7980.0
10010,Other livestock purchased ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,190.0
10011,Other livestock receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,280.0
10012,Other materials ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,1090.0
10013,Other services ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,11630.0
10014,Payments to sharefarmers ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,4260.0
10015,Population,1992,QL,QLD Southern Coastal - Curtis to Moreton,2774.0
10016,Produce purchased for resale ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10017,Profit at full equity ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,-45850.0
10018,Profit at full equity including capital appreciation ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,-128950.0
10019,Rams at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10020,Rate of return ex. capital appreciation (%),1992,QL,QLD Southern Coastal - Curtis to Moreton,-1.5
10021,Rate of return inc. capital appreciation (%),1992,QL,QLD Southern Coastal - Curtis to Moreton,-4.2
10022,Repairs and maintenance ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,19040.0
10023,Rice area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10024,Sample Contributing,1992,QL,QLD Southern Coastal - Curtis to Moreton,46.0
10025,Seed ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,2930.0
10026,Shearing crutching ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10027,Sheep and lambs shorn (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10028,Sheep flock at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10029,Sheep purchased ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10030,Sheep purchased (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10031,Sheep receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10032,Sheep sold (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10033,Shire and PPB rates ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,10330.0
10034,Sorghum area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,10.0
10035,Sorghum produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,14.0
10036,Sorghum receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3910.0
10037,Steers and other beef cattle at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,182.0
10038,Stores and rations ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,1690.0
10039,Telephone ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,2090.0
10040,Total area cropped (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,41.0
10041,Total area irrigated (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,11.0
10042,Total cash costs ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,174570.0
10043,Total cash receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,220710.0
10044,Total closing capital ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3071640.0
10045,Total crop gross receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,39450.0
10046,Total family income ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,31770.0
10047,Total freight ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,6650.0
10048,Total labor used (weeks),1992,QL,QLD Southern Coastal - Curtis to Moreton,93.0
10049,Total non farm income ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,36630.0
10050,Total off farm wages ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,5400.0
10051,Total wool sold (kg),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10052,Value of land and fixed improvements ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,2574440.0
10053,Vet fees ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,400.0
10054,Wages for hired labor ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,8370.0
10055,Water charges ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,230.0
10056,Wethers at 30 June (no.),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10057,Wheat area sown (ha),1992,QL,QLD Southern Coastal - Curtis to Moreton,5.0
10058,Wheat produced (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,7.0
10059,Wheat receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,3790.0
10060,Wheat sold (t),1992,QL,QLD Southern Coastal - Curtis to Moreton,8.0
10061,Wool cut per head (kg),1992,QL,QLD Southern Coastal - Curtis to Moreton,
10062,Wool produced (kg),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10063,Wool receipts ($),1992,QL,QLD Southern Coastal - Curtis to Moreton,0.0
10064,AI stud fees and herd testing ($),1992,QL,QLD West and South West,130.0
10065,Accounting services ($),1992,QL,QLD West and South West,5760.0
10066,Advisory services ($),1992,QL,QLD West and South West,2200.0
10067,Age of owner manager (yrs),1992,QL,QLD West and South West,52.0
10068,Age of spouse (yrs),1992,QL,QLD West and South West,46.0
10069,Agistment ($),1992,QL,QLD West and South West,2760.0
10070,Area operated at 30 June (ha),1992,QL,QLD West and South West,151235.0
10071,Barley area sown (ha),1992,QL,QLD West and South West,0.0
10072,Barley produced (t),1992,QL,QLD West and South West,0.0
10073,Barley receipts ($),1992,QL,QLD West and South West,0.0
10074,Beef bulls at 30 June (no.),1992,QL,QLD West and South West,38.0
10075,Beef calves at 30 June (no.),1992,QL,QLD West and South West,505.0
10076,Beef cattle purchased ($),1992,QL,QLD West and South West,86690.0
10077,Beef cattle purchased (no.),1992,QL,QLD West and South West,103.0
10078,Beef cattle receipts ($),1992,QL,QLD West and South West,583610.0
10079,Beef cattle sold (no.),1992,QL,QLD West and South West,584.0
10080,Beef cattle transferred off farm (no.),1992,QL,QLD West and South West,17.0
10081,Beef cattle transferred onto farm (no.),1992,QL,QLD West and South West,156.0
10082,Beef cows at 30 June (no.),1992,QL,QLD West and South West,896.0
10083,Beef heifers at 30 June (no.),1992,QL,QLD West and South West,202.0
10084,Beef herd at 30 June (no.),1992,QL,QLD West and South West,2323.0
10085,Branding rate (%),1992,QL,QLD West and South West,77.0
10086,Buildup in trading stocks ($),1992,QL,QLD West and South West,111010.0
10087,Canola area sown (ha),1992,QL,QLD West and South West,0.0
10088,Canola produced (t),1992,QL,QLD West and South West,0.0
10089,Canola receipts ($),1992,QL,QLD West and South West,0.0
10090,Capital appreciation ($),1992,QL,QLD West and South West,-116160.0
10091,Capital at 1 July ($),1992,QL,QLD West and South West,3994000.0
10092,Change in farm debt ($),1992,QL,QLD West and South West,-12570.0
10093,Contracts - cropping ($),1992,QL,QLD West and South West,0.0
10094,Contracts - livestock ($),1992,QL,QLD West and South West,7960.0
10095,Cotton receipts ($),1992,QL,QLD West and South West,0.0
10096,Crop and pasture chemicals ($),1992,QL,QLD West and South West,180.0
10097,Dairy cattle at June 30 (no.),1992,QL,QLD West and South West,0.0
10098,Depreciation ($),1992,QL,QLD West and South West,66890.0
10099,Electricity ($),1992,QL,QLD West and South West,4070.0
10100,Equity ratio at 30 June (%),1992,QL,QLD West and South West,79.0
10101,Ewes at 30 June (no.),1992,QL,QLD West and South West,3479.0
10102,Family share of farm income ($),1992,QL,QLD West and South West,49050.0
10103,Farm business debt at 30 June ($),1992,QL,QLD West and South West,610640.0
10104,Farm business equity June 30 ($),1992,QL,QLD West and South West,2314210.0
10105,Farm business profit ($),1992,QL,QLD West and South West,122260.0
10106,Farm cash income ($),1992,QL,QLD West and South West,168400.0
10107,Farm liquid assets at 30 June ($),1992,QL,QLD West and South West,82460.0
10108,Fertiliser ($),1992,QL,QLD West and South West,0.0
10109,Field peas area sown (ha),1992,QL,QLD West and South West,0.0
10110,Field peas produced (t),1992,QL,QLD West and South West,0.0
10111,Field peas receipts ($),1992,QL,QLD West and South West,0.0
10112,Fodder ($),1992,QL,QLD West and South West,11590.0
10113,Fuel oil and grease ($),1992,QL,QLD West and South West,44610.0
10114,Grain legumes area sown (ha),1992,QL,QLD West and South West,0.0
10115,Grain legumes produced (t),1992,QL,QLD West and South West,0.0
10116,Grain legumes receipts ($),1992,QL,QLD West and South West,0.0
10117,Handling and marketing ($),1992,QL,QLD West and South West,47470.0
10118,Hours worked on farm - total (hrsperwk),1992,QL,QLD West and South West,
10119,Hours worked on farm by owner manager (hrsperwk),1992,QL,QLD West and South West,
10120,Hours worked on farm by spouse (hrsperwk),1992,QL,QLD West and South West,
10121,Imputed labor cost ($),1992,QL,QLD West and South West,90270.0
10122,Insurance ($),1992,QL,QLD West and South West,10710.0
10123,Interest paid ($),1992,QL,QLD West and South West,66090.0
10124,Lambs at 30 June (no.),1992,QL,QLD West and South West,900.0
10125,Land rent ($),1992,QL,QLD West and South West,6190.0
10126,Leasing charges ($),1992,QL,QLD West and South West,7360.0
10127,Livestock materials ($),1992,QL,QLD West and South West,9590.0
10128,Livestock transfers - inwards ($),1992,QL,QLD West and South West,76860.0
10129,Livestock transfers - outward ($),1992,QL,QLD West and South West,8570.0
